2026-06-19T11:10:29.862243047Z I0619 11:10:29.862091       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T11:10:29.956218693Z I0619 11:10:29.956086       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:10:30.056482572Z I0619 11:10:30.056254       1 batcher.go:146] Batch processing duration: 100.067317ms
2026-06-19T11:10:30.056513037Z I0619 11:10:30.056316       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:10:30.056567552Z I0619 11:10:30.056329       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T11:10:30.127462305Z I0619 11:10:30.127250       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:10:30.228516903Z I0619 11:10:30.228062       1 batcher.go:146] Batch processing duration: 100.711694ms
2026-06-19T11:10:30.228615319Z I0619 11:10:30.228118       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:10:30.228623743Z I0619 11:10:30.228131       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T11:10:30.297983449Z I0619 11:10:30.297803       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:10:30.298013238Z I0619 11:10:30.297843       1 node_controller.go:271] Update 3 nodes status took 536.403608ms.
2026-06-19T11:15:30.399426557Z I0619 11:15:30.399230       1 batcher.go:146] Batch processing duration: 100.394759ms
2026-06-19T11:15:30.399462310Z I0619 11:15:30.399296       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:15:30.399536310Z I0619 11:15:30.399309       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T11:15:30.517316877Z I0619 11:15:30.516870       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:15:30.617869256Z I0619 11:15:30.617637       1 batcher.go:146] Batch processing duration: 100.395753ms
2026-06-19T11:15:30.618012697Z I0619 11:15:30.617779       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:15:30.618021768Z I0619 11:15:30.617833       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T11:15:30.686644291Z I0619 11:15:30.686426       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:15:30.788414502Z I0619 11:15:30.788185       1 batcher.go:146] Batch processing duration: 100.931557ms
2026-06-19T11:15:30.788449534Z I0619 11:15:30.788295       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:15:30.788519326Z I0619 11:15:30.788369       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T11:15:30.860297367Z I0619 11:15:30.860128       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:15:30.860340878Z I0619 11:15:30.860170       1 node_controller.go:271] Update 3 nodes status took 561.454073ms.
2026-06-19T11:20:30.960735026Z I0619 11:20:30.960574       1 batcher.go:146] Batch processing duration: 100.16935ms
2026-06-19T11:20:30.961190118Z I0619 11:20:30.960861       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:20:30.961332795Z I0619 11:20:30.961253       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T11:20:31.071456513Z I0619 11:20:31.071288       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:20:31.171926531Z I0619 11:20:31.171775       1 batcher.go:146] Batch processing duration: 100.39757ms
2026-06-19T11:20:31.171973222Z I0619 11:20:31.171832       1 batcher.go:187] Batch size for label describe_instance is 1
